  33.71
 165.00
 577320463
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	35251.20	0.00	184.56	0.00	4.80	4.80	663.27
1980 01 02 12	35251.20	0.00	314.62	0.00	2.85	2.85	505.69
1980 01 03 12	35268.21	6.54	245.58	0.00	4.40	4.40	522.84
1980 01 04 12	35404.62	2.18	315.93	0.00	6.59	6.59	604.40
1980 01 05 12	35536.19	0.00	134.38	0.00	3.47	3.47	575.66
1980 01 06 12	35596.80	0.02	258.66	0.00	0.69	0.69	484.93
1980 01 07 12	35596.80	9.47	241.88	0.00	3.79	3.79	560.08
1980 01 08 12	35596.80	3.55	193.84	0.00	7.11	7.11	731.54
1980 01 09 12	35596.80	0.13	155.55	0.00	6.12	6.12	756.50
1980 01 10 12	35596.80	7.63	159.81	0.00	5.81	5.81	769.27
1980 01 11 12	35675.46	7.99	190.64	0.00	8.44	8.44	842.43
1980 01 12 12	35932.83	1.82	339.68	0.00	7.52	7.52	669.43
1980 01 13 12	35942.40	0.00	248.17	0.00	5.88	5.88	660.15
1980 01 14 12	35942.40	0.00	266.88	0.00	5.98	5.98	726.53
1980 01 15 12	35942.40	0.00	311.78	0.00	8.70	8.70	823.04
1980 01 16 12	35942.40	6.48	227.69	0.00	10.23	10.23	905.37
1980 01 17 12	36165.09	7.86	209.65	0.00	10.77	10.77	1000.79
1980 01 18 12	36288.00	1.90	139.31	0.00	12.64	12.64	1150.26
1980 01 19 12	36288.00	0.00	355.62	0.00	8.43	8.43	745.37
1980 01 20 12	36288.00	0.01	343.54	0.00	9.82	9.82	718.82
1980 01 21 12	36305.01	11.43	255.00	0.00	9.98	9.98	803.01
1980 01 22 12	36624.03	33.65	171.40	0.00	9.26	9.26	861.74
1980 01 23 12	36633.60	9.95	340.28	0.00	6.27	6.27	661.25
1980 01 24 12	36633.60	0.00	320.83	0.00	2.67	2.67	524.72
1980 01 25 12	36633.60	1.38	278.50	0.00	6.04	6.04	659.44
1980 01 26 12	36918.59	2.05	188.65	0.00	11.34	11.34	995.07
1980 01 27 12	36979.20	1.21	158.36	0.00	10.01	10.01	953.15
1980 01 28 12	36979.20	0.64	263.12	0.00	5.47	5.47	662.98
1980 01 29 12	36979.20	0.28	271.95	0.00	5.45	5.45	624.20
1980 01 30 12	37315.23	15.64	140.05	0.00	2.22	2.22	549.78
1980 01 31 12	37324.80	5.41	215.31	0.00	0.50	0.50	466.70
1980 02 01 12	37324.80	0.07	283.92	0.00	-4.16	-4.16	310.38
1980 02 02 12	37403.46	0.00	364.79	0.00	-5.69	-5.69	264.31
1980 02 03 12	37670.40	0.00	400.45	0.00	-3.39	-3.39	302.48
1980 02 04 12	37670.40	0.05	304.69	0.00	0.59	0.59	427.57
