  33.71
 165.00
 577320463
Year Mnth Day Hr	Dayl(s)	PRCP(mm/day)	SRAD(W/m2)	SWE(mm)	Tmax(C)	Tmin(C)	Vp(Pa)
1980 01 01 12	35251.20	0.00	287.81	0.00	5.76	5.76	768.09
1980 01 02 12	35251.20	0.00	246.02	0.00	4.63	4.63	634.99
1980 01 03 12	35268.21	1.77	117.64	0.00	5.54	5.54	716.87
1980 01 04 12	35404.62	11.06	243.36	0.00	6.37	6.37	865.40
1980 01 05 12	35536.19	0.00	218.09	0.00	2.16	2.16	577.12
1980 01 06 12	35596.80	0.92	310.35	0.00	2.24	2.24	542.54
1980 01 07 12	35596.80	9.29	112.23	0.00	4.56	4.56	759.04
1980 01 08 12	35596.80	2.28	192.16	0.00	7.50	7.50	902.68
1980 01 09 12	35596.80	0.42	240.16	0.00	9.07	9.07	964.68
1980 01 10 12	35596.80	0.33	151.76	0.00	10.61	10.61	1128.10
1980 01 11 12	35675.46	19.86	135.60	0.00	14.44	14.44	1487.86
1980 01 12 12	35932.83	0.37	242.74	0.00	5.45	5.45	571.49
1980 01 13 12	35942.40	0.00	151.50	0.00	6.67	6.67	692.75
1980 01 14 12	35942.40	0.00	293.10	0.00	10.43	10.43	1017.77
1980 01 15 12	35942.40	0.00	264.50	0.00	10.78	10.78	1027.29
1980 01 16 12	35942.40	2.57	97.14	0.00	9.62	9.62	1067.03
1980 01 17 12	36165.09	7.26	127.13	0.00	12.33	12.33	1349.93
1980 01 18 12	36288.00	7.56	290.88	0.00	14.41	14.41	1450.69
1980 01 19 12	36288.00	0.05	327.74	0.00	11.02	11.02	1009.72
1980 01 20 12	36288.00	0.02	318.49	0.00	12.11	12.11	967.19
1980 01 21 12	36305.01	11.24	79.87	0.00	8.51	8.51	983.14
1980 01 22 12	36624.03	42.24	79.22	0.00	10.67	10.67	1228.45
1980 01 23 12	36633.60	5.95	335.51	0.00	4.29	4.29	679.97
1980 01 24 12	36633.60	0.01	339.59	0.00	3.74	3.74	599.85
1980 01 25 12	36633.60	0.04	228.36	0.00	6.89	6.89	846.96
1980 01 26 12	36918.59	4.34	81.47	0.00	10.15	10.15	1142.01
1980 01 27 12	36979.20	0.35	172.11	0.00	9.00	9.00	1028.34
1980 01 28 12	36979.20	0.04	238.13	0.00	4.91	4.91	713.07
1980 01 29 12	36979.20	3.53	148.16	0.00	2.77	2.77	636.42
1980 01 30 12	37315.23	6.40	77.35	0.00	2.41	2.41	658.70
1980 01 31 12	37324.80	11.84	299.16	0.00	-0.03	-0.03	539.04
1980 02 01 12	37324.80	0.05	347.35	0.00	-4.87	-4.87	318.47
1980 02 02 12	37403.46	0.00	379.78	0.00	-6.07	-6.07	297.74
1980 02 03 12	37670.40	0.00	128.54	0.00	-2.41	-2.41	393.27
1980 02 04 12	37670.40	0.00	331.36	0.00	0.17	0.17	444.52
1980 02 05 12	37670.40	2.04	79.33	0.00	-0.37	-0.37	428.22
1980 02 06 12	38006.43	1.27	278.17	0.00	2.19	2.19	618.09
1980 02 07 12	38016.00	2.21	261.08	0.00	0.03	0.03	461.70
1980 02 08 12	38016.00	3.61	130.54	0.00	1.23	1.23	530.81
1980 02 09 12	38238.69	35.86	125.16	0.00	3.89	3.89	755.80
1980 02 10 12	38361.60	1.75	398.17	0.00	0.60	0.60	527.46
1980 02 11 12	38361.60	0.00	395.84	0.00	-0.33	-0.33	442.62
1980 02 12 12	38440.26	0.00	385.74	0.00	0.60	0.60	440.28
1980 02 13 12	38707.20	0.00	393.62	0.00	1.31	1.31	462.47
1980 02 14 12	38707.20	0.00	393.75	0.00	5.87	5.87	569.70
1980 02 15 12	38724.21	3.03	189.04	0.00	8.72	8.72	872.07
1980 02 16 12	39052.80	4.95	212.29	0.00	7.40	7.40	971.70
1980 02 17 12	39052.80	0.00	418.59	0.00	-2.95	-2.95	322.79
1980 02 18 12	39069.81	0.75	391.54	0.00	-0.29	-0.29	351.16
1980 02 19 12	39398.40	1.69	107.74	0.00	3.55	3.55	593.62
1980 02 20 12	39398.40	1.67	338.46	0.00	12.58	12.58	1299.80
1980 02 21 12	39415.41	0.00	285.67	0.00	16.92	16.92	1643.94
1980 02 22 12	39744.00	0.00	396.94	0.00	17.98	17.98	1683.96
1980 02 23 12	39744.00	0.00	402.66	0.00	17.60	17.60	1497.49
1980 02 24 12	39897.43	0.00	406.25	0.00	13.24	13.24	1139.97
1980 02 25 12	40089.60	0.00	403.81	0.00	8.39	8.39	801.41
1980 02 26 12	40089.60	0.00	432.64	0.00	-0.41	-0.41	331.79
1980 02 27 12	40425.63	0.00	429.76	0.00	3.68	3.68	476.75
1980 02 28 12	40435.20	0.00	420.19	0.00	8.79	8.79	855.58
1980 02 29 12	40435.20	4.52	281.10	0.00	5.93	5.93	750.30
1980 03 01 12	40780.80	9.03	140.81	0.00	3.08	3.08	644.93
