gauge_id;graph_depth;n_upstream;total_upstream_area;in_degree;frac_upstream_area
01013500;0;0;0.0;0;0.0
01022500;0;0;0.0;0;0.0
01030500;3;7;2744.94;2;0.7467
01031500;2;3;863.01;2;1.1222
01047000;2;5;1066.79;4;1.1735
01052500;1;1;228.55;1;0.5955
01054200;1;1;22.8;1;0.126
01055000;0;0;0.0;0;0.0
01057000;1;1;22.8;1;0.1194
01073000;0;0;0.0;0;0.0
01078000;1;1;22.8;1;0.1025
01118300;0;0;0.0;0;0.0
01121000;0;0;0.0;0;0.0
01123000;1;1;49.71;1;0.6385
01134500;1;1;22.8;1;0.1168
01137500;0;0;0.0;0;0.0
01139000;1;1;22.8;1;0.0926
01139800;0;0;0.0;0;0.0
01142500;1;1;22.8;1;0.2775
01144000;3;7;662.4;4;0.37
01162500;0;0;0.0;0;0.0
01169000;3;5;313.91;3;1.361
01170100;0;0;0.0;0;0.0
01181000;3;6;413.48;5;1.6981
01187300;1;1;9.7;1;0.1799
01195100;0;0;0.0;0;0.0
01333000;2;3;117.91;3;1.0513
01350000;1;2;74.15;2;0.1211
01350080;1;1;9.7;1;0.1157
01350140;1;1;9.7;1;0.2217
01365000;2;3;117.91;3;1.1842
01411300;2;2;14.38;2;0.1813
01413500;1;2;74.15;2;0.1748
01414500;0;0;0.0;0;0.0
01415000;1;1;9.7;1;0.1133
01423000;2;4;583.88;4;0.6792
01434025;0;0;0.0;0;0.0
01435000;2;5;287.38;5;1.6664
01439500;4;10;826.74;7;2.7028
01440000;3;8;479.07;6;2.8564
01440400;3;7;395.23;5;2.2558
01451800;2;2;92.12;1;0.6782
01466500;0;0;0.0;0;0.0
01484100;1;1;5.38;1;0.5978
01485500;2;4;105.56;2;0.7458
01486000;0;0;0.0;0;0.0
01487000;3;8;298.28;4;1.5916
01491000;4;8;385.15;5;1.3188
01510000;4;13;1234.15;10;3.2224
01516500;0;0;0.0;0;0.0
01518862;2;2;131.58;2;0.5625
01532000;4;13;1761.71;9;3.1803
01539000;5;21;2816.44;10;4.0133
01542810;0;0;0.0;0;0.0
01543000;4;7;1156.41;7;1.6391
01543500;4;8;1907.29;8;1.0726
01544500;3;5;546.91;5;1.5403
01545600;2;3;112.43;3;0.9369
01547700;2;4;126.05;4;1.1102
01548500;4;8;1907.29;8;1.2249
01549500;2;3;112.43;3;1.1532
01550000;4;11;1324.94;11;2.9269
01552000;5;17;3785.65;13;3.3516
01552500;1;1;31.48;1;0.5191
01557500;1;2;33.93;2;0.2943
01567500;0;0;0.0;0;0.0
01568000;4;13;1461.33;7;2.7346
01580000;3;7;373.45;3;1.5282
01583500;3;4;145.49;3;0.9335
01586610;2;3;72.79;2;1.0012
01591400;2;3;72.79;2;1.2318
01594950;0;0;0.0;0;0.0
01596500;2;2;50.86;2;0.408
01605500;2;4;592.66;4;1.2777
01606500;3;8;2218.54;8;1.317
01613050;1;1;6.12;1;0.2194
01620500;1;1;6.12;1;0.1368
01632000;3;11;2011.08;10;3.7012
01632900;3;6;620.73;6;2.5331
01634500;3;5;464.39;5;1.7592
01638480;3;6;314.88;4;1.3572
01639500;2;6;222.02;3;0.831
01644000;5;36;6530.22;9;7.6006
01658500;0;0;0.0;0;0.0
01664000;4;19;4167.42;8;2.5964
01666500;4;14;2278.06;9;4.9186
01667500;5;20;4630.57;10;3.8277
01669000;1;1;19.34;1;0.2692
01669520;2;2;91.18;2;0.3287
02011400;2;5;637.4;5;1.5633
02011460;1;1;6.12;1;0.0391
02013000;3;7;1073.48;5;2.5271
02014000;2;5;516.61;4;1.302
02015700;2;3;207.2;3;0.726
02016000;5;26;7426.06;15;6.2166
02017500;2;4;309.2;3;1.1197
02018000;4;16;4436.84;14;5.2055
02027000;2;4;237.74;3;0.9874
02027500;2;3;81.4;2;0.66
02028500;2;4;237.74;3;0.9686
02038850;0;0;0.0;0;0.0
02046000;3;7;391.13;3;1.3556
02051000;1;3;72.11;3;0.4979
02051500;5;23;4122.27;8;2.8853
02053200;4;11;1048.22;3;1.7959
02053800;2;3;264.46;2;0.9421
02055100;0;0;0.0;0;0.0
02056900;2;3;264.46;2;0.8871
02059500;3;19;2913.26;13;6.0016
02064000;3;15;2265.15;11;5.2953
02065500;3;7;368.0;6;1.457
02069700;2;4;278.09;3;1.2576
02070000;2;4;278.09;3;1.0276
02074500;3;5;306.74;3;1.0631
02077200;1;1;30.54;1;0.251
02081500;4;15;1778.17;8;4.151
02082950;4;10;1053.92;5;2.2869
02092500;0;0;0.0;0;0.0
02096846;0;0;0.0;0;0.0
02102908;0;0;0.0;0;0.0
02108000;1;1;19.73;1;0.0126
02111180;1;1;14.08;1;0.1071
02111500;2;5;432.66;4;1.8517
02112120;3;6;630.82;5;1.9574
02112360;2;6;499.14;4;2.4313
02118500;3;18;2594.01;12;6.4764
02125000;2;2;80.56;1;0.5573
02128000;0;0;0.0;0;0.0
02137727;3;9;1084.33;9;3.2904
02140991;4;12;1780.94;11;3.4118
02143000;2;7;632.57;7;2.9195
02143040;1;1;14.08;1;0.2118
02149000;2;8;792.11;8;3.8857
02152100;1;3;189.03;3;1.2196
02177000;3;9;1069.97;8;2.0312
02178400;1;2;87.03;2;0.5753
02193340;0;0;0.0;0;0.0
02196000;1;2;578.67;2;0.4109
02198100;0;0;0.0;0;0.0
02202600;1;2;208.6;2;0.3533
02212600;1;1;87.87;1;0.4675
02215100;2;3;398.7;2;0.9486
02216180;0;0;0.0;0;0.0
02221525;0;0;0.0;0;0.0
02231000;1;1;348.43;1;0.1993
02231342;0;0;0.0;0;0.0
02235200;0;0;0.0;0;0.0
02245500;0;0;0.0;0;0.0
02246000;0;0;0.0;0;0.0
02296500;2;3;681.35;3;0.7687
02297155;0;0;0.0;0;0.0
02297310;2;2;267.87;2;0.507
02298123;3;5;765.61;5;1.4161
02298608;2;3;341.71;3;1.094
02299950;1;1;93.6;1;0.5371
02300700;0;0;0.0;0;0.0
02310947;0;0;0.0;0;0.0
02312200;1;1;93.6;1;0.2264
02314500;1;1;129.11;1;0.0389
02315500;2;3;3799.69;2;0.6192
02324400;0;0;0.0;0;0.0
02327100;1;1;176.27;1;0.6502
02342933;0;0;0.0;0;0.0
02349900;0;0;0.0;0;0.0
02350900;0;0;0.0;0;0.0
02361000;2;4;2645.28;2;1.4848
02363000;0;0;0.0;0;0.0
02369800;0;0;0.0;0;0.0
02371500;1;3;1500.06;3;1.1603
02372250;1;3;1500.06;3;1.3098
02374500;0;0;0.0;0;0.0
02381600;0;0;0.0;0;0.0
02384540;1;1;10.32;1;0.4829
02395120;2;2;31.69;2;0.3772
02408540;0;0;0.0;0;0.0
02415000;0;0;0.0;0;0.0
02422500;0;0;0.0;0;0.0
02427250;1;1;445.72;1;0.6601
02430085;0;0;0.0;0;0.0
02430615;1;1;15.82;1;0.551
02450250;0;0;0.0;0;0.0
02464000;1;2;272.39;2;0.4705
02464146;0;0;0.0;0;0.0
02464360;2;3;85.09;3;0.5725
02465493;1;1;15.82;1;0.1896
02469800;2;2;99.24;1;0.2348
02472000;1;1;479.3;1;0.2487
02472500;1;1;479.3;1;0.6068
02479155;0;0;0.0;0;0.0
02479300;3;4;659.2;2;0.5761
02479560;3;6;1928.44;3;1.326
02481000;1;1;137.28;1;0.5508
02481510;1;1;137.28;1;0.1715
03010655;0;0;0.0;0;0.0
03011800;1;1;31.48;1;0.3145
03015500;4;11;1547.14;9;1.9713
03021350;2;4;165.51;3;0.6906
03026500;0;0;0.0;0;0.0
03028000;2;3;151.89;3;0.9428
03049000;3;11;906.31;7;2.5376
03049800;1;1;6.12;1;0.411
03050000;1;2;430.2;2;0.8828
03066000;0;0;0.0;0;0.0
03069500;2;5;1592.23;5;0.8575
03070500;3;6;687.18;6;1.3282
03076600;1;1;6.12;1;0.048
03078000;1;1;6.12;1;0.0379
03140000;0;0;0.0;0;0.0
03144000;0;0;0.0;0;0.0
03159540;1;3;310.71;3;0.7751
03161000;3;7;893.4;4;1.6925
03164000;4;10;2784.28;6;0.9429
03165000;0;0;0.0;0;0.0
03170000;4;15;2796.06;6;3.5186
03173000;3;11;2043.48;6;2.6425
03180500;1;2;430.2;2;1.2467
03182500;2;5;1592.23;5;1.1665
03186500;1;1;207.41;1;0.6291
03187500;0;0;0.0;0;0.0
03213700;4;17;4675.87;4;1.9281
03237280;0;0;0.0;0;0.0
03237500;2;2;739.41;2;0.737
03238500;1;1;170.91;1;0.3006
03241500;0;0;0.0;0;0.0
03280700;0;0;0.0;0;0.0
03281100;1;1;158.22;1;0.3743
03281500;2;2;580.94;2;0.316
03285000;2;2;580.94;2;0.7064
03291780;1;1;29.72;1;0.4162
03300400;1;1;29.72;1;0.0263
03338780;2;3;602.49;2;0.8712
03340800;1;1;237.09;1;0.6629
03346000;3;7;1213.52;6;1.4895
03357350;0;0;0.0;0;0.0
03364500;0;0;0.0;0;0.0
03366500;2;4;345.97;4;0.4581
03368000;0;0;0.0;0;0.0
03384450;0;0;0.0;0;0.0
03439000;2;3;199.19;3;1.1148
03450000;0;0;0.0;0;0.0
03455500;0;0;0.0;0;0.0
03456500;1;1;72.95;1;0.5467
03460000;1;1;72.95;1;0.5743
03463300;1;1;72.95;1;0.6504
03471500;2;2;185.11;1;0.9341
03473000;3;6;879.32;3;1.1204
03479000;2;3;333.4;3;1.4151
03488000;3;6;879.32;3;1.5208
03498500;4;10;1431.11;9;2.0539
03500000;3;8;918.69;8;2.5439
03500240;1;1;72.95;1;0.5001
03504000;1;1;72.95;1;0.5423
03574500;2;2;31.69;1;0.0389
03592718;0;0;0.0;0;0.0
03604000;0;0;0.0;0;0.0
04015330;0;0;0.0;0;0.0
04024430;0;0;0.0;0;0.0
04027000;1;1;220.44;1;0.1361
04040500;0;0;0.0;0;0.0
04043050;0;0;0.0;0;0.0
04045500;0;0;0.0;0;0.0
04056500;3;8;5248.12;5;1.7815
04057510;1;1;115.87;1;0.2447
04057800;0;0;0.0;0;0.0
04059500;2;4;1118.71;3;0.9446
04063700;1;2;336.31;2;0.9276
04074950;1;1;220.44;1;0.1829
04105700;0;0;0.0;0;0.0
04115265;0;0;0.0;0;0.0
04122200;1;2;193.82;2;0.1849
04122500;0;0;0.0;0;0.0
04124000;1;1;487.16;1;0.2171
04127918;0;0;0.0;0;0.0
04127997;0;0;0.0;0;0.0
04161580;0;0;0.0;0;0.0
04185000;2;7;1794.2;4;1.6863
04196800;1;4;992.88;4;1.6328
04197100;0;0;0.0;0;0.0
04197170;0;0;0.0;0;0.0
04213000;3;6;416.83;2;0.9155
04213075;0;0;0.0;0;0.0
04216418;2;3;151.89;2;0.7731
04221000;0;0;0.0;0;0.0
04224775;3;5;310.02;4;1.3372
04233000;2;2;92.12;2;1.0024
04256000;0;0;0.0;0;0.0
04296000;2;3;398.91;3;1.3201
05056000;1;2;4318.93;2;0.8883
05057000;2;4;12423.56;3;1.6385
05057200;0;0;0.0;0;0.0
05062500;0;0;0.0;0;0.0
05087500;0;0;0.0;0;0.0
05120500;0;0;0.0;0;0.0
05123400;1;1;1509.83;1;0.4709
05129115;0;0;0.0;0;0.0
05131500;1;1;2357.59;1;0.5378
05291000;1;1;175.28;1;0.1674
05362000;1;1;220.44;1;0.1492
05393500;0;0;0.0;0;0.0
05399500;1;1;220.44;1;0.3825
05408000;0;0;0.0;0;0.0
05412500;1;2;1466.09;2;0.38
05413500;1;1;370.79;1;0.5333
05414000;0;0;0.0;0;0.0
05444000;0;0;0.0;0;0.0
05454000;0;0;0.0;0;0.0
05458000;0;0;0.0;0;0.0
05466500;1;2;441.73;2;0.3836
05487980;1;1;481.42;1;0.5454
05488200;0;0;0.0;0;0.0
05489000;1;2;715.63;2;0.7418
05495000;0;0;0.0;0;0.0
05495500;2;3;1024.42;3;1.1313
05501000;2;3;1024.42;3;1.1101
05503800;0;0;0.0;0;0.0
05507600;0;0;0.0;0;0.0
05508805;1;2;488.02;2;0.9098
05514500;1;2;488.02;2;0.2027
05525500;2;3;602.49;2;0.5199
05556500;0;0;0.0;0;0.0
05584500;3;6;3880.36;6;2.2884
05585000;3;9;5473.66;7;1.6317
05591550;0;0;0.0;0;0.0
05592050;2;2;241.66;2;0.951
05592575;0;0;0.0;0;0.0
05593575;1;3;322.59;3;1.482
05593900;1;1;96.21;1;0.6615
05595730;2;4;468.04;4;1.9769
06037500;0;0;0.0;0;0.0
06043500;1;1;1126.25;1;0.5311
06154410;0;0;0.0;0;0.0
06188000;3;4;2358.49;2;1.3631
06191500;4;5;4088.77;3;0.6027
06221400;0;0;0.0;0;0.0
06224000;1;1;227.88;1;0.47
06278300;0;0;0.0;0;0.0
