condition,area_tercile,n_basin_seed,median_NSE
L,small,183,0.5953318573851016
L,medium,183,0.647248130103635
L,large,183,0.7208646614421605
G,small,183,0.568752866421094
G,medium,183,0.590452836601764
G,large,183,0.64671422106374
G+T,small,183,0.578641726471608
G+T,medium,183,0.5902233417402163
G+T,large,183,0.6452241641664197
G+M,small,183,0.5500417631395973
G+M,medium,183,0.5928978061063493
G+M,large,183,0.6307183479403995
G+T+M,small,183,0.5341635944786519
G+T+M,medium,183,0.5858521179452938
G+T+M,large,183,0.6240470593041695
