condition,depth,n_basin_seed,median_NSE
L,0,99,0.6463781267448161
L,1,243,0.6745122934880571
L,2,153,0.6433657451999295
L,3,48,0.6499377138021178
L,4,6,0.6051027805313174
G,0,99,0.6220123366015302
G,1,243,0.6234690378167917
G,2,153,0.5671617663294721
G,3,48,0.5814416290995792
G,4,6,0.49291065558274216
G+T,0,99,0.6233489325764883
G+T,1,243,0.6245041035554216
G+T,2,153,0.5705427031532901
G+T,3,48,0.5761048264319688
G+T,4,6,0.5545579223718268
G+M,0,99,0.5829054126727141
G+M,1,243,0.6157081118624217
G+M,2,153,0.5673805605893839
G+M,3,48,0.5765327805395807
G+M,4,6,0.49239507868331084
G+T+M,0,99,0.5698043229022692
G+T+M,1,243,0.6079860492110001
G+T+M,2,153,0.5705583739922909
G+T+M,3,48,0.5667398853496893
G+T+M,4,6,0.4985659659485735
