seed,condition,n_total,n_kept,median_full,median_trimmed,mean_trimmed
11,L,183,173,0.65294759631668,0.6673820805686506,0.6436397670700955
13,L,183,173,0.6511677369817463,0.6548340166770742,0.6336809870646242
17,L,183,173,0.6555065932078332,0.666135364544263,0.653235677187052
11,G,183,173,0.608603960427075,0.6162004747774681,0.6062971206825789
13,G,183,173,0.6141429060121809,0.6205927319645789,0.6091481109477423
17,G,183,173,0.5897120863231458,0.6071836797829496,0.5878852633080758
11,G+T,183,173,0.605152588173095,0.6119638977815198,0.6034229391096141
13,G+T,183,173,0.6126082154187782,0.6196231890592017,0.6039036100763375
17,G+T,183,173,0.6032093813277466,0.6100399018458174,0.5985401378248754
11,G+M,183,173,0.5832314074054508,0.5983621202939116,0.5821278191374588
13,G+M,183,173,0.6114366679048968,0.6212022997926561,0.6044162119638264
17,G+M,183,173,0.5810384498191039,0.5927221889935657,0.5849577379429912
11,G+T+M,183,173,0.5858521179452938,0.592149986266358,0.5829761608619491
13,G+T+M,183,173,0.5963924827657239,0.6000214269649081,0.5889044002570626
17,G+T+M,183,173,0.5781998463777376,0.5943652419847303,0.5781610043252073
