condition,seed,basin,metric,value
L,11,01030500,NSE,0.782721263396568
L,11,01030500,KGE,0.7236721857139055
L,11,01030500,logNSE,0.7810828247304998
L,11,01031500,NSE,0.7753783480270618
L,11,01031500,KGE,0.6924323182989689
L,11,01031500,logNSE,0.8327893895418651
L,11,01047000,NSE,0.8011609290429411
L,11,01047000,KGE,0.7011178349203666
L,11,01047000,logNSE,0.862714592261862
L,11,01052500,NSE,0.7208646614421605
L,11,01052500,KGE,0.8173491354740725
L,11,01052500,logNSE,0.7991780628936125
L,11,01054200,NSE,0.6115902220393479
L,11,01054200,KGE,0.652152024038259
L,11,01054200,logNSE,0.7702336701970207
L,11,01055000,NSE,0.6929580919456786
L,11,01055000,KGE,0.6689117125639841
L,11,01055000,logNSE,0.7836888010617625
L,11,01057000,NSE,0.7563162308256874
L,11,01057000,KGE,0.7911135705212295
L,11,01057000,logNSE,0.7947828362332708
L,11,01078000,NSE,0.7686989454529147
L,11,01078000,KGE,0.7792379113234379
L,11,01078000,logNSE,0.8406059560537705
L,11,01134500,NSE,0.7452358847420794
L,11,01134500,KGE,0.7350554768187539
L,11,01134500,logNSE,0.8117405925213864
L,11,01137500,NSE,0.6901709553435327
L,11,01137500,KGE,0.7236535329210644
L,11,01137500,logNSE,0.8135144848079462
L,11,01139000,NSE,0.6120245706872582
L,11,01139000,KGE,0.7904562983998851
L,11,01139000,logNSE,0.7790439514697369
L,11,01139800,NSE,0.6974353005823182
L,11,01139800,KGE,0.6822235456309429
L,11,01139800,logNSE,0.7795642556160388
L,11,01142500,NSE,0.6937342424677622
L,11,01142500,KGE,0.640826970271374
L,11,01142500,logNSE,0.7777720673862686
L,11,01144000,NSE,0.7547520260084464
L,11,01144000,KGE,0.7131889646422434
L,11,01144000,logNSE,0.8342772315983933
L,11,01169000,NSE,0.5627266743403934
L,11,01169000,KGE,0.5070346271088065
L,11,01169000,logNSE,0.7658853343246146
L,11,01181000,NSE,0.5542786723494773
L,11,01181000,KGE,0.5001519287342755
L,11,01181000,logNSE,0.8231557581861974
L,11,01187300,NSE,0.6477652934466013
L,11,01187300,KGE,0.693579829741434
L,11,01187300,logNSE,0.6988585831215786
L,11,01333000,NSE,0.45593329006638283
L,11,01333000,KGE,0.4356313040098251
L,11,01333000,logNSE,0.7187153563471493
L,11,01350000,NSE,0.7176010739189882
L,11,01350000,KGE,0.7574254925470514
L,11,01350000,logNSE,0.8121295052759965
L,11,01350080,NSE,0.21590863418040562
L,11,01350080,KGE,0.5807335752406231
L,11,01350080,logNSE,0.7075459271665989
L,11,01350140,NSE,0.37730688511793853
L,11,01350140,KGE,0.5478943897307877
L,11,01350140,logNSE,0.7031053621993464
L,11,01365000,NSE,0.6991554995014174
L,11,01365000,KGE,0.5970101668196088
L,11,01365000,logNSE,0.7958166049302879
L,11,01411300,NSE,-0.08081583241607637
L,11,01411300,KGE,0.4776347875848168
L,11,01411300,logNSE,0.5032484471927079
L,11,01413500,NSE,0.6891344962926654
L,11,01413500,KGE,0.8206147969395587
L,11,01413500,logNSE,0.788034951514787
L,11,01414500,NSE,0.5743396249995012
L,11,01414500,KGE,0.7727908172600995
L,11,01414500,logNSE,0.7110922101683997
L,11,01415000,NSE,0.5530212434381541
L,11,01415000,KGE,0.7762116743542256
L,11,01415000,logNSE,0.7637112608366124
L,11,01423000,NSE,0.8656525616173039
L,11,01423000,KGE,0.8761178755433495
L,11,01423000,logNSE,0.8468505022814944
L,11,01434025,NSE,0.5475322934599067
L,11,01434025,KGE,0.5710663248946819
L,11,01434025,logNSE,0.7477350338102924
L,11,01435000,NSE,0.7220245136321018
L,11,01435000,KGE,0.7273339794955422
L,11,01435000,logNSE,0.8264166940718297
L,11,01439500,NSE,0.7540077368209088
L,11,01439500,KGE,0.6974730691158408
L,11,01439500,logNSE,0.8059426188493464
L,11,01440000,NSE,0.6546158311006214
L,11,01440000,KGE,0.7998918542036422
L,11,01440000,logNSE,0.8490776695313572
L,11,01440400,NSE,0.5911422647605455
L,11,01440400,KGE,0.5169257529183027
L,11,01440400,logNSE,0.8206338492173795
L,11,01451800,NSE,0.7891700374180466
L,11,01451800,KGE,0.8349901155269156
L,11,01451800,logNSE,0.774974124718972
L,11,01466500,NSE,0.28098315959463027
L,11,01466500,KGE,0.6569187169373489
L,11,01466500,logNSE,0.37125074404309355
L,11,01484100,NSE,0.5116741553111772
L,11,01484100,KGE,0.668186550293641
L,11,01484100,logNSE,0.2975159964458881
L,11,01485500,NSE,0.6433657451999295
L,11,01485500,KGE,0.742443470798932
L,11,01485500,logNSE,0.5157998004300851
L,11,01487000,NSE,0.4790850259322883
L,11,01487000,KGE,0.6164178951276431
L,11,01487000,logNSE,0.569719793194259
L,11,01491000,NSE,0.7032573036139214
