condition,depth,n_basins,median_NSE
A_baseline,0,33,0.6167219877243042
A_baseline,1,81,0.6672232151031494
A_baseline,2,51,0.6301741898059845
A_baseline,3,16,0.6588530093431473
A_baseline,4,2,0.5235511809587479
B_topology_features,0,33,0.6158680273044532
B_topology_features,1,81,0.6237664811676952
B_topology_features,2,51,0.5549282179529789
B_topology_features,3,16,0.5844486725124575
B_topology_features,4,2,0.5359769217210064
C_graph_messages,0,33,0.5699204307127294
C_graph_messages,1,81,0.5997288577934782
C_graph_messages,2,51,0.5332492544843093
C_graph_messages,3,16,0.5683705903801386
C_graph_messages,4,2,0.4264748650908282
