condition,seed,basin,NSE
A_baseline,42,01030500,0.7837934345006943
A_baseline,42,01031500,0.7636595666408539
A_baseline,42,01047000,0.7865588963031769
A_baseline,42,01052500,0.7867127805948257
A_baseline,42,01054200,0.6010469198226929
A_baseline,42,01055000,0.6737622618675232
A_baseline,42,01057000,0.750672310590744
A_baseline,42,01078000,0.7837361544370651
A_baseline,42,01134500,0.801445409655571
A_baseline,42,01137500,0.6902819573879242
A_baseline,42,01139000,0.7656642347574234
A_baseline,42,01139800,0.6167219877243042
A_baseline,42,01142500,0.6569927632808685
A_baseline,42,01144000,0.800604835152626
A_baseline,42,01169000,0.5702750086784363
A_baseline,42,01181000,0.5566632747650146
A_baseline,42,01187300,0.7289079427719116
A_baseline,42,01333000,0.5187482535839081
A_baseline,42,01350000,0.694953590631485
A_baseline,42,01350080,0.3174446821212768
A_baseline,42,01350140,0.3851075172424316
A_baseline,42,01365000,0.7305883765220642
A_baseline,42,01411300,-0.1661275625228881
A_baseline,42,01413500,0.5921889841556549
A_baseline,42,01414500,0.5609484314918518
A_baseline,42,01415000,0.471235990524292
A_baseline,42,01423000,0.7870235592126846
A_baseline,42,01434025,0.5085485279560089
A_baseline,42,01435000,0.6499634981155396
A_baseline,42,01439500,0.7331500947475433
A_baseline,42,01440000,0.8151455074548721
A_baseline,42,01440400,0.5544716119766235
A_baseline,42,01451800,0.7995524704456329
A_baseline,42,01466500,0.2567397356033325
A_baseline,42,01484100,0.4834303259849548
A_baseline,42,01485500,0.6390528082847595
A_baseline,42,01487000,0.5504923164844513
A_baseline,42,01491000,0.633826345205307
A_baseline,42,01510000,0.6766786277294159
A_baseline,42,01516500,0.6122414767742157
A_baseline,42,01518862,0.6676128804683685
A_baseline,42,01532000,0.7662611156702042
A_baseline,42,01539000,0.8244747221469879
A_baseline,42,01542810,0.6577077209949493
A_baseline,42,01543000,0.7986936569213867
A_baseline,42,01543500,0.816671222448349
A_baseline,42,01544500,0.7586957216262817
A_baseline,42,01545600,0.711432546377182
A_baseline,42,01547700,0.6812885701656342
A_baseline,42,01548500,0.798783078789711
A_baseline,42,01549500,0.6800574660301208
A_baseline,42,01550000,0.7956189662218094
A_baseline,42,01552000,0.8505794703960419
A_baseline,42,01552500,0.7151138484477997
A_baseline,42,01557500,0.7588749080896378
A_baseline,42,01567500,0.6702507734298706
A_baseline,42,01568000,0.8263836801052094
A_baseline,42,01580000,0.825469508767128
A_baseline,42,01583500,0.6339698731899261
A_baseline,42,01586610,0.4668953418731689
A_baseline,42,01591400,0.4897711277008056
A_baseline,42,01594950,0.7266615629196167
A_baseline,42,01596500,0.7551342993974686
A_baseline,42,01605500,0.6395816504955292
A_baseline,42,01606500,0.6664084494113922
A_baseline,42,01613050,0.6480021476745605
A_baseline,42,01620500,0.309487521648407
A_baseline,42,01632000,0.5023678839206696
A_baseline,42,01632900,0.4547831416130066
A_baseline,42,01634500,0.5465401709079742
A_baseline,42,01638480,0.6250276267528534
A_baseline,42,01639500,0.669295608997345
A_baseline,42,01644000,0.729272186756134
A_baseline,42,01658500,0.5078337788581848
A_baseline,42,01664000,0.6679829657077789
A_baseline,42,01666500,0.4735898375511169
A_baseline,42,01667500,0.6014082133769989
A_baseline,42,01669000,0.5922693312168121
A_baseline,42,01669520,0.6672232151031494
A_baseline,42,02011400,0.7189528346061707
A_baseline,42,02011460,0.7082661986351013
A_baseline,42,02013000,0.567242443561554
A_baseline,42,02014000,0.6385309398174286
A_baseline,42,02015700,0.7211828231811523
A_baseline,42,02016000,0.7508107274770737
A_baseline,42,02017500,0.6863970160484314
A_baseline,42,02018000,0.5931963324546814
A_baseline,42,02027000,0.5703352391719818
A_baseline,42,02027500,0.616698682308197
A_baseline,42,02028500,0.6153525710105896
A_baseline,42,02038850,0.5396011173725128
A_baseline,42,02046000,0.6040696203708649
A_baseline,42,02051000,0.4455887675285339
A_baseline,42,02051500,0.6321751177310944
A_baseline,42,02053200,0.4149272441864013
A_baseline,42,02053800,0.0646262168884277
A_baseline,42,02055100,0.6119420528411865
A_baseline,42,02056900,0.4625748991966247
A_baseline,42,02059500,0.3798756003379822
A_baseline,42,02064000,0.6691975593566895
A_baseline,42,02065500,0.2602453827857971
A_baseline,42,02069700,0.298758327960968
A_baseline,42,02070000,0.4665884375572204
A_baseline,42,02074500,0.3994359970092773
A_baseline,42,02077200,0.4814932942390442
A_baseline,42,02081500,0.6485084593296051
A_baseline,42,02082950,0.4750838279724121
A_baseline,42,02096846,0.5039719045162201
A_baseline,42,02111180,0.4747900366783142
A_baseline,42,02111500,0.4393893480300903
A_baseline,42,02112120,0.2437905669212341
A_baseline,42,02112360,0.309937834739685
A_baseline,42,02118500,0.4800078272819519
