basin,recovery_steps,success_within_5_steps,max_dev_post_T_normalized
08101000,1,True,0.114921175
08103900,1,True,0.16437466
08104900,1,True,0.13974255
08109700,1,True,0.124919586
08150800,1,True,0.06707673
08155200,1,True,0.12202513
08158700,1,True,0.10850419
08158810,1,True,0.12885782
08164000,1,True,0.12639919
08164300,1,True,0.1830574
08165300,1,True,0.08610555
08171300,1,True,0.13201591
08175000,1,True,0.12998262
08176900,1,True,0.14372166
08178880,1,True,0.05797084
08189500,1,True,0.1717944
08190000,1,True,0.11159754
08190500,1,True,0.15836729
08195000,1,True,0.11711341
08196000,1,True,0.1159039
08198500,1,True,0.13909717
08200000,1,True,0.054877218
08202700,1,True,0.056167368
