t_relative,h_dev_normalized_median,y_dev_normalized_median,h_dev_q25,h_dev_q75,y_dev_q25,y_dev_q75
-15,0.0,0.0,0.0,0.0,0.0,0.0
-14,0.0,0.0,0.0,0.0,0.0,0.0
-13,0.0,0.0,0.0,0.0,0.0,0.0
-12,0.0,0.0,0.0,0.0,0.0,0.0
-11,0.0,0.0,0.0,0.0,0.0,0.0
-10,0.0,0.0,0.0,0.0,0.0,0.0
-9,0.0,0.0,0.0,0.0,0.0,0.0
-8,0.0,0.0,0.0,0.0,0.0,0.0
-7,0.0,0.0,0.0,0.0,0.0,0.0
-6,0.0,0.0,0.0,0.0,0.0,0.0
-5,0.0,0.0,0.0,0.0,0.0,0.0
-4,0.0,0.0,0.0,0.0,0.0,0.0
-3,0.0,0.0,0.0,0.0,0.0,0.0
-2,0.0,0.0,0.0,0.0,0.0,0.0
-1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.4775192,0.11334468,0.40783226,0.56451994,0.047250003,0.19400021
1,0.06650279,0.026495598,0.052131377,0.08822408,0.010188674,0.06301051
2,0.021215713,0.008115169,0.014712411,0.033292823,0.002725605,0.019366566
3,0.01513249,0.0029701993,0.009684041,0.026269063,0.0012107429,0.007942964
4,0.013250369,0.00219221,0.008246065,0.023379492,0.00082879246,0.0058442336
5,0.012123721,0.0019310066,0.007391136,0.021336513,0.00065280683,0.004665597
6,0.011017671,0.0014219516,0.006515886,0.019561093,0.0005429655,0.0039117336
7,0.010099049,0.0013323498,0.0059334487,0.018031688,0.00044888305,0.003329503
8,0.009183261,0.0010198448,0.0053737815,0.017007893,0.00039109265,0.0029623178
9,0.008550243,0.00092110276,0.0048514656,0.016186802,0.0003399914,0.002570446
10,0.0080100605,0.00082576333,0.00453595,0.01522082,0.00029927364,0.0023171678
11,0.00773072,0.0007355165,0.0041776802,0.014274509,0.00027348232,0.002248
12,0.0072689843,0.0006808263,0.003889659,0.013556755,0.00024267103,0.0020639854
13,0.007091064,0.00057821756,0.0036270688,0.012814928,0.00021989585,0.001897769
14,0.006503284,0.0005081877,0.0032964672,0.012388824,0.00019613809,0.0017883618
