basin,recovery_steps,success_within_5_steps,max_dev_post_T_normalized
08101000,1,True,0.1272055
08103900,1,True,0.12799658
08104900,1,True,0.07544917
08109700,1,True,0.19963332
08150800,1,True,0.12123675
08155200,1,True,0.07661422
08158700,1,True,0.102544315
08158810,1,True,0.13172482
08164000,1,True,0.10919911
08164300,1,True,0.1157076
08165300,1,True,0.09112869
08171300,1,True,0.115249075
08175000,1,True,0.16768034
08176900,1,True,0.17832537
08178880,1,True,0.064849034
08189500,1,True,0.077253304
08190000,1,True,0.097432815
08190500,1,True,0.1856068
08195000,1,True,0.060084485
08196000,1,True,0.14960594
08198500,1,True,0.11337353
08200000,1,True,0.06739761
08202700,1,True,0.10321466
