basin,recovery_steps,success_within_5_steps,max_dev_post_T_normalized
08101000,1,True,0.10114543
08103900,1,True,0.14017162
08104900,1,True,0.09569678
08109700,1,True,0.18255691
08150800,1,True,0.11683137
08155200,1,True,0.086293854
08158700,1,True,0.082638286
08158810,1,True,0.101142675
08164000,1,True,0.109228045
08164300,1,True,0.104932874
08165300,1,True,0.20097487
08171300,1,True,0.10767092
08175000,1,True,0.17308412
08176900,1,True,0.14635044
08178880,1,True,0.09319106
08189500,1,True,0.07014445
08190000,1,True,0.15890114
08190500,1,True,0.18565406
08195000,1,True,0.07111462
08196000,1,True,0.12428685
08198500,1,True,0.10894996
08200000,1,True,0.08194992
08202700,1,True,0.13058446
