basin,role,depth,n_upstream,area_km2,elev_m,nse_baseline,nse_graph,nse_frozen,delta,delta_frozen
08101000,outlet,1,1,1177.1,388.2,0.5415959530625782,0.5704129583501472,0.5766225542447798,0.02881700528756892,0.03502660118220158
08103900,headwater,0,0,86.0,383.0,0.419276272827229,0.45088604791719855,0.4192763454540428,0.03160977508996954,7.262681378517044e-08
08104900,interior,1,1,342.6,317.4,0.5884089317447888,0.6359720531463043,0.6078389083926585,0.04756312140151553,0.019429976647869718
08109700,interior,1,5,610.1,143.1,0.567636590572479,0.5772693249246253,0.4524707472593902,0.0096327343521464,-0.11516584331308877
08150800,headwater,0,0,557.5,563.6,-1.8224394329164801,-2.34271971568435,-1.822440620287415,-0.5202802827678696,-1.1873709349075057e-06
08155200,interior,1,1,232.7,337.3,0.1789805591067195,0.25258834123788776,0.2538468507879106,0.07360778213116825,0.07486629168119108
08158700,interior,1,1,320.3,368.0,0.3483267330266241,0.4769861558190861,0.39312988096027823,0.128659422792462,0.04480314793365414
08158810,headwater,0,0,31.8,308.1,0.4440376384722403,0.5294522538333537,0.44403769258879844,0.08541461536111339,5.411655812359584e-08
08164000,outlet,3,2,2124.0,73.1,0.5735324156265086,0.5459859516139798,0.576092915127037,-0.027546464012528804,0.0025604995005283904
08164300,interior,2,3,861.5,102.7,0.36352405218585393,0.4375978587422641,0.43646284621383846,0.07407380655641016,0.07293879402798453
08165300,headwater,0,0,436.0,669.2,-6.2513909887767145,-11.564166752250081,-6.251392795328425,-5.3127757634733666,-1.806551710892279e-06
08171300,outlet,1,5,1067.5,379.2,0.527464430606668,0.5595174899734658,0.5763098260290849,0.03205305936679781,0.04884539542241684
08175000,outlet,2,4,1421.7,113.3,0.6181132333529078,0.5839533567233626,0.5223335744445119,-0.03415987662954523,-0.0957796589083959
08176900,headwater,0,0,925.4,88.5,0.4860402618056273,0.5009054670812221,0.48604029095754986,0.014865205275594762,2.9151922542602904e-08
08178880,outlet,1,2,850.6,542.6,0.5448462107336722,0.5730533552804257,0.6081909298286619,0.028207144546753438,0.06334471909498962
08189500,outlet,3,2,1808.3,67.3,0.8342822685156088,0.8943727141982013,0.8325138033785486,0.060090445682592475,-0.0017684651370601934
08190000,outlet,1,2,1961.4,567.8,0.4009864059078224,0.44177881201141844,0.37562675781968824,0.040792406103596024,-0.02535964808813418
08190500,outlet,1,1,1799.1,590.4,-0.6932036392025867,-1.5323058801859446,-1.108137426171592,-0.839102240983358,-0.4149337869690053
08195000,interior,1,1,1028.3,578.2,0.650888697746485,0.5662887612087415,0.596328296198001,-0.08459993653774345,-0.05456040154848396
08196000,headwater,0,0,327.0,536.8,0.3071694001412326,0.2926126038800433,0.3071693060929577,-0.014556796261189331,-9.404827494563506e-08
08198500,outlet,1,2,624.4,439.4,0.19728259626539868,0.11544802942703947,0.11914775124747401,-0.08183456683835921,-0.07813484501792467
08200000,headwater,0,0,249.1,464.3,0.42266274666857107,0.5168369355973665,0.42266281973625774,0.09417418892879548,7.306768667891816e-08
08202700,interior,1,1,434.8,399.0,0.3818819914834769,0.44697039648325376,0.357005134832756,0.06508840499977686,-0.024876856650720924
