basin,role,depth,n_upstream,area_km2,elev_m,nse_baseline,nse_graph,delta
08101000,outlet,1,1,1177.1,388.2,0.5415960683866875,0.5704129583501472,0.028816889963459658
08103900,headwater,0,0,86.0,383.0,0.41927634300410777,0.45088604791719855,0.031609704913090786
08104900,interior,1,1,342.6,317.4,0.588408943410814,0.6359720531463043,0.04756310973549038
08109700,interior,1,5,610.1,143.1,0.567636642919894,0.5772693249246253,0.00963268200473133
08150800,headwater,0,0,557.5,563.6,-1.8224406111190952,-2.34271971568435,-0.5202791045652546
08155200,interior,1,1,232.7,337.3,0.1789805766055077,0.25258834123788776,0.07360776463238006
08158700,interior,1,1,320.3,368.0,0.3483267314013493,0.4769861558190861,0.1286594244177368
08158810,headwater,0,0,31.8,308.1,0.44403766558193136,0.5294522538333537,0.08541458825142234
08164000,outlet,3,2,2124.0,73.1,0.5735323867930019,0.5459859516139798,-0.02754643517902211
08164300,interior,2,3,861.5,102.7,0.36352406344191324,0.4375978587422641,0.07407379530035085
08165300,headwater,0,0,436.0,669.2,-6.251390614123486,-11.564166752250081,-5.312776138126595
08171300,outlet,1,5,1067.5,379.2,0.5274644360236116,0.5595174899734658,0.03205305394985425
08175000,outlet,2,4,1421.7,113.3,0.6181131839868068,0.5839533567233626,-0.03415982726344424
08176900,headwater,0,0,925.4,88.5,0.4860403193301912,0.5009054670812221,0.014865147751030872
08178880,outlet,1,2,850.6,542.6,0.544846199623866,0.5730533552804257,0.028207155656559624
08189500,outlet,3,2,1808.3,67.3,0.8342822657670237,0.8943727141982013,0.06009044843117761
08190000,outlet,1,2,1961.4,567.8,0.40098639332610153,0.44177881201141844,0.04079241868531691
08190500,outlet,1,1,1799.1,590.4,-0.6932035717601284,-1.5323058801859446,-0.8391023084258162
08195000,interior,1,1,1028.3,578.2,0.6508886372296514,0.5662887612087415,-0.0845998760209099
08196000,headwater,0,0,327.0,536.8,0.3071693598870605,0.2926126038800433,-0.014556756007017224
08198500,outlet,1,2,624.4,439.4,0.1972825246679928,0.11544802942703947,-0.08183449524095332
08200000,headwater,0,0,249.1,464.3,0.4226628279975714,0.5168369355973665,0.09417410759979516
08202700,interior,1,1,434.8,399.0,0.381882087549932,0.44697039648325376,0.06508830893332174
