basin,depth,role,n_upstream,n_downstream,area_km2,elev_m,huc_02
01030500,3,outlet,2,0,3676.17,143.8,01
01031500,2,interior,2,1,769.05,247.8,01
01047000,2,interior,4,1,909.1,310.38,01
01052500,1,interior,1,2,383.82,615.7,01
01054200,1,interior,1,3,180.98,472.31,01
01055000,0,headwater,0,2,250.64,423.12,01
01057000,1,outlet,1,0,190.92,215.59,01
01078000,1,outlet,1,0,222.46,346.92,01
01134500,1,interior,1,1,195.13,450.54,01
01137500,0,headwater,0,3,228.55,784.85,01
01139000,1,outlet,1,0,246.33,373.34,01
01139800,0,headwater,0,8,22.8,518.15,01
01142500,1,outlet,1,0,82.17,346.62,01
01144000,2,outlet,4,0,1790.24,459.8,01
01169000,2,outlet,3,0,230.64,374.89,01
01181000,2,outlet,5,0,243.5,417.93,01
01187300,1,outlet,1,0,53.92,309.1,01
01333000,1,interior,3,3,112.16,485.91,02
01350000,1,outlet,2,0,612.51,612.78,02
01350080,1,interior,1,5,83.84,587.35,02
01350140,1,interior,1,6,43.76,579.74,02
01365000,1,interior,3,4,99.57,465.17,02
01411300,1,interior,2,1,79.32,15.25,02
01413500,1,interior,2,1,424.1,724.51,02
01414500,0,headwater,0,10,64.45,775.58,02
01415000,1,interior,1,7,85.63,604.34,02
01423000,1,outlet,4,0,859.68,593.67,02
01434025,0,headwater,0,15,9.7,729.33,02
01435000,1,interior,5,2,172.46,560.05,02
01439500,2,outlet,7,0,305.88,307.06,02
01440000,2,outlet,6,0,167.72,234.2,02
01440400,2,interior,5,2,175.21,334.06,02
01451800,2,interior,1,1,135.84,180.41,02
01466500,0,headwater,0,3,5.38,38.94,02
01484100,1,interior,1,3,9.0,17.97,02
01485500,2,outlet,2,0,141.54,15.46,02
01487000,3,outlet,4,0,187.41,13.84,02
01491000,3,outlet,5,0,292.04,18.54,02
01510000,2,outlet,10,0,382.99,482.21,02
01516500,0,headwater,0,18,31.48,634.59,02
01518862,1,interior,2,9,233.91,600.87,02
01532000,2,interior,9,1,553.94,507.14,02
01539000,2,outlet,10,0,701.78,333.75,02
01542810,0,headwater,0,6,13.62,492.7,02
01543000,1,interior,7,1,705.5,543.37,02
01543500,1,outlet,8,0,1778.26,547.44,02
01544500,1,interior,5,8,355.06,551.6,02
01545600,1,interior,3,6,120.0,518.97,02
01547700,1,interior,4,2,113.54,353.57,02
01548500,1,outlet,8,0,1557.05,546.71,02
01549500,1,interior,3,6,97.49,528.16,02
01550000,1,interior,11,1,452.68,455.41,02
01552000,3,outlet,13,0,1129.49,461.43,02
01552500,1,interior,1,14,60.64,535.24,02
01557500,1,interior,2,3,115.3,389.99,02
01567500,0,headwater,0,7,38.77,314.48,02
01568000,2,interior,7,1,534.39,265.52,02
01580000,3,outlet,3,0,244.37,174.3,02
01583500,2,interior,3,1,155.85,156.32,02
01586610,2,interior,2,6,72.7,196.88,02
01591400,2,interior,2,2,59.09,149.21,02
01594950,0,headwater,0,15,6.12,899.82,02
01596500,1,interior,2,7,124.65,663.42,02
01605500,1,interior,4,5,463.85,856.86,02
01606500,1,outlet,8,0,1684.55,836.38,02
01613050,1,interior,1,6,27.9,261.6,02
01620500,1,interior,1,21,44.74,786.35,02
01632000,2,interior,10,3,543.36,543.76,02
01632900,1,interior,6,4,245.05,417.29,02
01634500,1,interior,5,4,263.98,344.44,02
01638480,2,outlet,4,0,232.0,155.98,02
01639500,2,interior,3,1,267.18,198.1,02
01644000,3,outlet,9,0,859.17,187.25,02
01658500,0,headwater,0,3,19.34,97.44,02
01664000,2,outlet,8,0,1605.1,216.1,02
01666500,2,interior,9,2,463.15,201.59,02
01667500,2,outlet,10,0,1209.75,193.47,02
01669000,1,interior,1,2,71.84,42.94,02
01669520,1,interior,2,1,277.39,25.42,02
02011400,1,interior,5,4,407.72,783.86,02
02011460,1,interior,1,19,156.34,878.38,02
02013000,2,interior,5,2,424.78,691.82,02
02014000,2,interior,4,2,396.78,691.04,02
02015700,1,interior,3,7,285.41,753.52,02
02016000,3,outlet,15,0,1194.55,645.04,02
02017500,2,interior,3,5,276.15,695.27,02
02018000,2,outlet,14,0,852.34,648.68,02
02027000,2,interior,3,5,240.77,387.44,02
02027500,2,interior,2,8,123.34,350.53,02
02028500,2,interior,3,5,245.45,377.48,02
02038850,0,headwater,0,5,22.0,176.41,02
02046000,3,interior,3,2,288.52,86.64,03
02051000,1,interior,3,5,144.82,151.02,03
02051500,4,outlet,8,0,1428.71,113.4,03
02053200,4,outlet,3,0,583.66,25.28,03
02053800,2,interior,2,5,280.72,705.68,03
02055100,0,headwater,0,11,30.54,399.99,03
02056900,2,interior,2,1,298.11,423.07,03
02059500,3,outlet,13,0,485.41,319.14,03
02064000,3,interior,11,1,427.77,192.21,03
02065500,2,interior,6,3,252.58,170.09,03
02069700,2,interior,3,4,221.13,372.62,03
02070000,2,interior,3,2,270.61,308.66,03
02074500,3,interior,3,1,288.53,223.3,03
02077200,1,interior,1,5,121.69,194.0,03
02081500,3,interior,8,1,428.37,132.21,03
02082950,3,outlet,5,0,460.85,79.77,03
02096846,0,headwater,0,5,19.57,182.85,03
02111180,1,interior,1,9,131.47,551.06,03
02111500,2,interior,4,1,233.66,454.02,03
02112120,2,outlet,5,0,322.27,460.03,03
02112360,2,interior,4,2,205.3,405.86,03
02118500,2,outlet,12,0,400.53,336.82,03
02125000,2,outlet,1,0,144.55,190.23,03
02128000,0,headwater,0,1,273.48,195.23,03
02137727,1,interior,9,1,329.54,602.18,03
02140991,1,outlet,11,0,521.99,529.42,03
02143000,1,interior,7,1,216.67,399.35,03
02143040,1,interior,1,5,66.48,411.33,03
02149000,1,interior,8,1,203.85,403.91,03
02152100,1,interior,3,1,154.99,414.31,03
02177000,1,outlet,8,0,526.77,705.59,03
02178400,1,interior,2,2,151.28,797.91,03
03010655,0,headwater,0,7,254.44,635.06,05
03011800,1,interior,1,12,100.1,628.71,05
03015500,2,outlet,9,0,784.85,492.56,05
03021350,2,interior,3,1,239.67,485.4,05
03026500,0,headwater,0,16,20.31,577.23,05
03028000,1,interior,3,7,161.11,569.02,05
03049000,2,outlet,7,0,357.15,365.27,05
03049800,1,outlet,1,0,14.89,296.6,05
03050000,1,interior,2,5,487.29,998.82,05
03066000,0,headwater,0,10,222.79,1072.01,05
03069500,1,outlet,5,0,1856.85,961.46,05
03070500,1,outlet,6,0,517.38,599.73,05
03076600,1,interior,1,5,127.4,795.46,05
03078000,1,interior,1,5,161.48,767.06,05
03140000,0,headwater,0,2,70.35,287.7,05
03144000,0,headwater,0,1,363.41,292.28,05
03159540,1,outlet,3,0,400.85,232.8,05
03161000,2,interior,4,2,527.86,834.21,05
03164000,2,outlet,6,0,2952.74,766.6,05
03165000,0,headwater,0,17,102.0,707.63,05
03170000,2,interior,6,1,794.64,713.74,05
03173000,3,interior,6,2,773.32,750.95,05
03180500,1,interior,2,6,345.06,1057.03,05
03182500,1,outlet,5,0,1364.97,934.51,05
03186500,1,interior,1,8,329.68,1057.61,05
03187500,0,headwater,0,15,207.41,1061.95,05
03213700,3,outlet,4,0,2425.06,611.92,05
03237280,0,headwater,0,1,32.95,248.51,05
03237500,1,outlet,2,0,1003.21,272.36,05
03238500,1,interior,1,1,568.5,285.37,05
03241500,0,headwater,0,3,170.91,319.84,05
03439000,1,interior,3,5,178.67,863.18,06
03450000,0,headwater,0,15,14.08,891.9,06
03455500,0,headwater,0,16,72.95,1326.82,06
03456500,1,interior,1,8,133.43,1162.13,06
03460000,1,interior,1,7,127.02,1254.53,06
03463300,1,interior,1,15,112.16,1025.66,06
03471500,2,interior,1,11,198.16,1023.62,06
03473000,2,interior,3,2,784.81,916.29,06
03479000,1,interior,3,7,235.6,1040.03,06
03488000,2,interior,3,2,578.21,812.91,06
03498500,1,outlet,9,0,696.76,680.92,06
03500000,1,interior,8,1,361.14,808.87,06
03500240,1,interior,1,4,145.86,967.11,06
03504000,1,interior,1,4,134.52,1039.71,06
04105700,0,headwater,0,2,98.04,277.91,04
04115265,0,headwater,0,1,95.78,254.56,04
04122200,1,outlet,2,0,1048.28,244.61,04
04185000,2,outlet,4,0,1064.0,250.64,04
04196800,1,interior,4,1,608.07,276.66,04
04197100,0,headwater,0,2,388.21,298.46,04
04197170,0,headwater,0,1,95.21,275.04,04
04213000,3,outlet,2,0,455.3,322.72,04
04213075,0,headwater,0,1,11.65,358.17,04
04216418,2,interior,2,1,196.47,533.55,04
04221000,0,headwater,0,3,750.88,658.41,04
04224775,1,interior,4,4,231.84,519.45,04
04233000,1,interior,2,1,91.9,434.01,04
04256000,0,headwater,0,1,232.45,486.49,04
04296000,1,outlet,3,0,302.19,390.99,01
