basin,depth_eq1
01055000,0
01137500,0
01139800,0
01414500,0
01434025,0
01466500,0
01516500,0
01542810,0
01567500,0
01594950,0
01658500,0
02038850,0
02055100,0
02096846,0
02128000,0
03010655,0
03026500,0
03066000,0
03140000,0
03144000,0
03165000,0
03187500,0
03237280,0
03241500,0
03450000,0
03455500,0
04105700,0
04115265,0
04197100,0
04197170,0
04213075,0
04221000,0
04256000,0
01052500,1
01054200,1
01057000,1
01078000,1
01134500,1
01139000,1
01142500,1
01187300,1
01350000,1
01350080,1
01350140,1
01413500,1
01415000,1
01484100,1
01552500,1
03011800,1
01613050,1
01620500,1
02011460,1
03049800,1
03076600,1
03078000,1
01669000,1
02077200,1
02051000,1
01557500,1
03050000,1
03180500,1
03186500,1
03159540,1
03238500,1
02111180,1
02143040,1
02152100,1
02178400,1
03456500,1
03460000,1
03463300,1
03500240,1
03504000,1
04122200,1
04196800,1
01031500,2
01047000,2
04296000,2
01333000,2
01365000,2
01423000,2
01435000,2
01411300,2
01451800,2
01545600,2
01547700,2
01549500,2
04233000,2
01518862,2
03021350,2
03028000,2
04216418,2
01586610,2
01591400,2
01596500,2
02027500,2
01605500,2
02011400,2
02014000,2
02015700,2
02017500,2
02027000,2
02028500,2
02053800,2
02056900,2
01485500,2
01669520,2
01639500,2
03069500,2
03182500,2
03237500,2
02069700,2
02070000,2
02125000,2
03479000,2
02111500,2
02112360,2
02143000,2
03439000,2
03471500,2
02149000,2
04185000,2
01030500,3
01144000,3
01169000,3
01181000,3
01440000,3
01440400,3
04224775,3
04213000,3
01544500,3
01580000,3
01583500,3
01487000,3
01632900,3
01634500,3
01638480,3
03049000,3
03070500,3
02046000,3
02065500,3
02074500,3
01606500,3
01632000,3
02013000,3
02064000,3
02059500,3
02177000,3
03500000,3
02112120,3
02137727,3
03161000,3
03173000,3
03473000,3
03488000,3
02118500,3
01439500,4
01510000,4
01550000,4
01532000,4
01543000,4
01543500,4
01548500,4
01568000,4
03015500,4
01491000,4
01666500,4
02053200,4
02081500,4
02082950,4
01664000,4
02018000,4
03498500,4
02140991,4
03170000,4
03164000,4
03213700,4
01539000,5
01552000,5
01644000,5
01667500,5
02051500,5
02016000,5
