regime,graph_type,source_node,target_node,hop,hop_numeric,delta_norm,layers
real,disconnected,01013500,01013500,0,0.0,0.008252744562923908,1
real,disconnected,01013500,01022500,inf,inf,0.0,1
real,disconnected,01013500,01030500,inf,inf,0.0,1
real,disconnected,01013500,01031500,inf,inf,0.0,1
real,disconnected,01013500,01047000,inf,inf,0.0,1
real,disconnected,01013500,01052500,inf,inf,0.0,1
real,disconnected,01013500,01054200,inf,inf,0.0,1
real,disconnected,01013500,01055000,inf,inf,0.0,1
real,disconnected,01013500,01057000,inf,inf,0.0,1
real,disconnected,01013500,01073000,inf,inf,0.0,1
real,disconnected,01013500,01013500,0,0.0,0.0011144177988171577,2
real,disconnected,01013500,01022500,inf,inf,0.0,2
real,disconnected,01013500,01030500,inf,inf,0.0,2
real,disconnected,01013500,01031500,inf,inf,0.0,2
real,disconnected,01013500,01047000,inf,inf,0.0,2
real,disconnected,01013500,01052500,inf,inf,0.0,2
real,disconnected,01013500,01054200,inf,inf,0.0,2
real,disconnected,01013500,01055000,inf,inf,0.0,2
real,disconnected,01013500,01057000,inf,inf,0.0,2
real,disconnected,01013500,01073000,inf,inf,0.0,2
synthetic,chain,01013500,01013500,0,0.0,0.0069953277707099915,1
synthetic,chain,01013500,01022500,1,1.0,0.0009986860677599907,1
synthetic,chain,01013500,01030500,2,2.0,0.0,1
synthetic,chain,01013500,01031500,3,3.0,0.0,1
synthetic,chain,01013500,01047000,4,4.0,0.0,1
synthetic,chain,01013500,01052500,inf,inf,0.0,1
synthetic,chain,01013500,01054200,inf,inf,0.0,1
synthetic,chain,01013500,01055000,inf,inf,0.0,1
synthetic,chain,01013500,01057000,inf,inf,0.0,1
synthetic,chain,01013500,01073000,inf,inf,0.0,1
synthetic,chain,01013500,01013500,0,0.0,0.002195256995037198,2
synthetic,chain,01013500,01022500,1,1.0,0.00042105463217012584,2
synthetic,chain,01013500,01030500,2,2.0,3.327322701807134e-05,2
synthetic,chain,01013500,01031500,3,3.0,0.0,2
synthetic,chain,01013500,01047000,4,4.0,0.0,2
synthetic,chain,01013500,01052500,inf,inf,0.0,2
synthetic,chain,01013500,01054200,inf,inf,0.0,2
synthetic,chain,01013500,01055000,inf,inf,0.0,2
synthetic,chain,01013500,01057000,inf,inf,0.0,2
synthetic,chain,01013500,01073000,inf,inf,0.0,2
synthetic,tree,01013500,01013500,0,0.0,0.008650613948702812,1
synthetic,tree,01013500,01022500,1,1.0,0.0013451451668515801,1
synthetic,tree,01013500,01030500,2,2.0,0.0,1
synthetic,tree,01013500,01031500,2,2.0,0.0,1
synthetic,tree,01013500,01047000,1,1.0,0.001307103200815618,1
synthetic,tree,01013500,01052500,2,2.0,0.0,1
synthetic,tree,01013500,01054200,2,2.0,0.0,1
synthetic,tree,01013500,01055000,inf,inf,0.0,1
synthetic,tree,01013500,01057000,inf,inf,0.0,1
synthetic,tree,01013500,01073000,inf,inf,0.0,1
synthetic,tree,01013500,01013500,0,0.0,0.0013498038752004504,2
synthetic,tree,01013500,01022500,1,1.0,0.0002699177130125463,2
synthetic,tree,01013500,01030500,2,2.0,3.186624599038623e-05,2
synthetic,tree,01013500,01031500,2,2.0,3.947511504520662e-05,2
synthetic,tree,01013500,01047000,1,1.0,0.00029752383125014603,2
synthetic,tree,01013500,01052500,2,2.0,4.385554348118603e-05,2
synthetic,tree,01013500,01054200,2,2.0,4.190778054180555e-05,2
synthetic,tree,01013500,01055000,inf,inf,0.0,2
synthetic,tree,01013500,01057000,inf,inf,0.0,2
synthetic,tree,01013500,01073000,inf,inf,0.0,2
